# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: srl.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             137   N   000003ba   35d19163   000003bc   x28_t3     0000000e
             138   N   000003bc   212120b7   000003c0   ---        --------
             139   N   000003c0   12108093   000003c4   x01_ra     21212000
             140   N   000003c4   00004139   000003c8   x01_ra     21212121
             141   N   000003c8   0020d1b3   000003ca   x02_sp     0000000e
             142   N   000003ca   00006ea1   000003ce   x03_gp     00008484
             143   N   000003ce   484e8e93   000003d0   x29_t4     00008000
             144   N   000003d0   00004e3d   000003d4   x29_t4     00008484
             145   N   000003d4   33d19463   000003d6   x28_t3     0000000f
             146   N   000003d6   4e3d20b7   000003da   ---        --------
             148   N   000003da   33d18093   000003de   x01_ra     21212000
             150   N   000003de   0000417d   000003e2   x01_ra     21212121
             151   N   000003e2   0020d1b3   000003e4   x02_sp     0000001f
             152   N   000003e4   00004e81   000003e8   x03_gp     00000000
             153   N   000003e8   00004e41   000003ea   x29_t4     00000000
             154   N   000003ea   31d19963   000003ec   x28_t3     00000010
             155   N   000003ec   212120b7   000003f0   ---        --------
             156   N   000003f0   12108093   000003f4   x01_ra     21212000
             157   N   000003f4   fc000113   000003f8   x01_ra     21212121
             158   N   000003f8   0020d1b3   000003fc   x02_sp     ffffffc0
             159   N   000003fc   21212eb7   00000400   x03_gp     21212121
             160   N   00000400   121e8e93   00000404   x29_t4     21212000
             161   N   00000404   00004e45   00000408   x29_t4     21212121
             162   N   00000408   2fd19a63   0000040a   x28_t3     00000011
             163   N   0000040a   4e4520b7   0000040e   ---        --------
             165   N   0000040e   2fd18093   00000412   x01_ra     21212000
             167   N   00000412   21210113   00000416   x01_ra     21212121
             169   N   00000416   1210d1b3   0000041a   x02_sp     ffffffc1
             171   N   0000041a   fc109eb7   0000041e   x03_gp     10909090
             173   N   0000041e   00208e93   00000422   x29_t4     10909000
             175   N   00000422   00004e49   00000426   x29_t4     10909090
             176   N   00000426   2dd19b63   00000428   x28_t3     00000012
             177   N   00000428   212120b7   0000042c   ---        --------
             178   N   0000042c   12108093   00000430   x01_ra     21212000
             179   N   00000430   fc700113   00000434   x01_ra     21212121
             180   N   00000434   0020d1b3   00000438   x02_sp     ffffffc7
             181   N   00000438   00424eb7   0000043c   x03_gp     00424242
             182   N   0000043c   242e8e93   00000440   x29_t4     00424000
             183   N   00000440   00004e4d   00000444   x29_t4     00424242
             184   N   00000444   2bd19c63   00000446   x28_t3     00000013
             185   N   00000446   4e4d20b7   0000044a   ---        --------
             187   N   0000044a   2bd18093   0000044e   x01_ra     21212000
             189   N   0000044e   21210113   00000452   x01_ra     21212121
             191   N   00000452   1210d1b3   00000456   x02_sp     ffffffce
             193   N   00000456   00006ea1   0000045a   x03_gp     00008484
             194   N   0000045a   484e8e93   0000045c   x29_t4     00008000
             195   N   0000045c   00004e51   00000460   x29_t4     00008484
             196   N   00000460   29d19e63   00000462   x28_t3     00000014
             197   N   00000462   4e5120b7   00000466   ---        --------
             199   N   00000466   29d18093   0000046a   x01_ra     21212000
             201   N   0000046a   21210113   0000046e   x01_ra     21212121
             203   N   0000046e   1210d1b3   00000472   x02_sp     ffffffff
             205   N   00000472   00004e81   00000476   x03_gp     00000000
             206   N   00000476   00004e55   00000478   x29_t4     00000000
             207   N   00000478   29d19263   0000047a   x28_t3     00000015
             208   N   0000047a   4e5500b7   0000047e   ---        --------
             210   N   0000047e   0000411d   00000482   x01_ra     80000000
             211   N   00000482   0020d0b3   00000484   x02_sp     00000007
             212   N   00000484   01000eb7   00000488   x01_ra     01000000
             213   N   00000488   00004e59   0000048c   x29_t4     01000000
             214   N   0000048c   27d09863   0000048e   x28_t3     00000016
             215   N   0000048e   4e5900b7   00000492   ---        --------
             217   N   00000492   00004139   00000496   x01_ra     80000000
             218   N   00000496   0020d133   00000498   x02_sp     0000000e
             219   N   00000498   00020eb7   0000049c   x02_sp     00020000
             220   N   0000049c   00004e5d   000004a0   x29_t4     00020000
             221   N   000004a0   25d11e63   000004a2   x28_t3     00000017
             222   N   000004a2   0000409d   000004a6   ---        --------
             223   N   000004a6   0010d0b3   000004a8   x01_ra     00000007
             224   N   000004a8   00004e81   000004ac   x01_ra     00000000
             225   N   000004ac   00004e61   000004ae   x29_t4     00000000
             226   N   000004ae   25d09763   000004b0   x28_t3     00000018
             227   N   000004b0   00004201   000004b4   ---        --------
             228   N   000004b4   800000b7   000004b6   x04_tp     00000000
             229   N   000004b6   0000411d   000004ba   x01_ra     80000000
             230   N   000004ba   0020d1b3   000004bc   x02_sp     00000007
             231   N   000004bc   00018313   000004c0   x03_gp     01000000
             232   N   000004c0   00000205   000004c4   x06_t1     01000000
             233   N   000004c4   00004289   000004c6   x04_tp     00000001
             234   N   000004c6   fe5217e3   000004c8   x05_t0     00000002
             235   N   000004c8   01000eb7   000004b6   ---        --------
             239   N   000004b6   0000411d   000004ba   x01_ra     80000000
             240   N   000004ba   0020d1b3   000004bc   x02_sp     00000007
             241   N   000004bc   00018313   000004c0   x03_gp     01000000
             242   N   000004c0   00000205   000004c4   x06_t1     01000000
             243   N   000004c4   00004289   000004c6   x04_tp     00000002
             244   N   000004c6   fe5217e3   000004c8   x05_t0     00000002
             245   N   000004c8   01000eb7   000004cc   ---        --------
             246   N   000004cc   00004e65   000004d0   x29_t4     01000000
             247   N   000004d0   23d31663   000004d2   x28_t3     00000019
             248   N   000004d2   00004201   000004d6   ---        --------
             249   N   000004d6   800000b7   000004d8   x04_tp     00000000
             250   N   000004d8   00004139   000004dc   x01_ra     80000000
             251   N   000004dc   0020d1b3   000004de   x02_sp     0000000e
             252   N   000004de   00000001   000004e2   x03_gp     00020000
             253   N   000004e2   00018313   000004e4   ---        --------
             254   N   000004e4   00000205   000004e8   x06_t1     00020000
             255   N   000004e8   00004289   000004ea   x04_tp     00000001
             256   N   000004ea   fe5216e3   000004ec   x05_t0     00000002
             257   N   000004ec   00020eb7   000004d8   ---        --------
             260   N   000004d8   00004139   000004dc   x01_ra     80000000
             261   N   000004dc   0020d1b3   000004de   x02_sp     0000000e
             262   N   000004de   00000001   000004e2   x03_gp     00020000
             263   N   000004e2   00018313   000004e4   ---        --------
             264   N   000004e4   00000205   000004e8   x06_t1     00020000
             265   N   000004e8   00004289   000004ea   x04_tp     00000002
             266   N   000004ea   fe5216e3   000004ec   x05_t0     00000002
             267   N   000004ec   00020eb7   000004f0   ---        --------
             268   N   000004f0   00004e69   000004f4   x29_t4     00020000
             269   N   000004f4   21d31463   000004f6   x28_t3     0000001a
             270   N   000004f6   00004201   000004fa   ---        --------
             271   N   000004fa   800000b7   000004fc   x04_tp     00000000
             272   N   000004fc   0000417d   00000500   x01_ra     80000000
             273   N   00000500   0020d1b3   00000502   x02_sp     0000001f
             274   N   00000502   00000001   00000506   x03_gp     00000001
             275   N   00000506   00000001   00000508   ---        --------
             276   N   00000508   00018313   0000050a   ---        --------
             277   N   0000050a   00000205   0000050e   x06_t1     00000001
             278   N   0000050e   00004289   00000510   x04_tp     00000001
             279   N   00000510   fe5215e3   00000512   x05_t0     00000002
             280   N   00000512   00004e85   000004fc   ---        --------
             283   N   000004fc   0000417d   00000500   x01_ra     80000000
             284   N   00000500   0020d1b3   00000502   x02_sp     0000001f
             285   N   00000502   00000001   00000506   x03_gp     00000001
             286   N   00000506   00000001   00000508   ---        --------
             287   N   00000508   00018313   0000050a   ---        --------
             288   N   0000050a   00000205   0000050e   x06_t1     00000001
             289   N   0000050e   00004289   00000510   x04_tp     00000002
             290   N   00000510   fe5215e3   00000512   x05_t0     00000002
             291   N   00000512   00004e85   00000516   ---        --------
             292   N   00000516   00004e6d   00000518   x29_t4     00000001
             293   N   00000518   1fd31263   0000051a   x28_t3     0000001b
             294   N   0000051a   00004201   0000051e   ---        --------
             295   N   0000051e   800000b7   00000520   x04_tp     00000000
             296   N   00000520   0000411d   00000524   x01_ra     80000000
             297   N   00000524   0020d1b3   00000526   x02_sp     00000007
             298   N   00000526   00000205   0000052a   x03_gp     01000000
             299   N   0000052a   00004289   0000052c   x04_tp     00000001
             300   N   0000052c   fe5219e3   0000052e   x05_t0     00000002
             301   N   0000052e   42890eb7   00000520   ---        --------
             304   N   00000520   0000411d   00000524   x01_ra     80000000
             305   N   00000524   0020d1b3   00000526   x02_sp     00000007
             306   N   00000526   00000205   0000052a   x03_gp     01000000
             307   N   0000052a   00004289   0000052c   x04_tp     00000002
